,frameNo,position,SEQ,No,filepPath,x,y
471,39,7,7,1,./data/39.jpg,1080,435
486,40,7,7,1,./data/40.jpg,1100,425
501,41,7,7,1,./data/41.jpg,1117,412
516,42,7,7,1,./data/42.jpg,1137,412
531,43,7,7,1,./data/43.jpg,1150,422
546,44,7,7,1,./data/44.jpg,1157,435
561,45,7,7,1,./data/45.jpg,1150,459
576,46,7,7,1,./data/46.jpg,1143,496
591,47,7,7,1,./data/47.jpg,1130,533
606,48,7,7,1,./data/48.jpg,1117,567
621,49,7,7,1,./data/49.jpg,1110,594
636,50,7,7,1,./data/50.jpg,1127,601
651,51,7,7,1,./data/51.jpg,1090,601
666,52,7,7,1,./data/52.jpg,1070,601
681,53,7,7,1,./data/53.jpg,1080,594
696,54,7,7,1,./data/54.jpg,1083,601
711,55,7,7,1,./data/55.jpg,1087,594
726,56,7,7,1,./data/56.jpg,1090,591
741,57,7,7,1,./data/57.jpg,1083,557
756,58,7,7,1,./data/58.jpg,1090,530
771,59,7,7,1,./data/59.jpg,1100,506
786,60,7,6,1,./data/60.jpg,1113,493
801,61,7,5,1,./data/61.jpg,1130,472
7,8,8,8,1,./data/8.jpg,743,641
22,9,8,8,1,./data/9.jpg,740,641
37,10,8,8,1,./data/10.jpg,733,638
52,11,8,8,1,./data/11.jpg,730,634
67,12,8,8,1,./data/12.jpg,723,634
82,13,8,8,1,./data/13.jpg,713,631
97,14,8,8,1,./data/14.jpg,710,628
112,15,8,8,1,./data/15.jpg,710,624
127,16,8,8,1,./data/16.jpg,710,621
142,17,8,8,1,./data/17.jpg,707,621
157,18,8,8,1,./data/18.jpg,710,618
172,19,8,8,1,./data/19.jpg,707,618
187,20,8,8,1,./data/20.jpg,710,618
202,21,8,8,1,./data/21.jpg,710,614
217,22,8,7,1,./data/22.jpg,713,608
232,23,8,8,1,./data/23.jpg,717,611
247,24,8,8,1,./data/24.jpg,730,611
262,25,8,8,1,./data/25.jpg,733,611
277,26,8,8,1,./data/26.jpg,737,614
292,27,8,8,1,./data/27.jpg,733,614
307,28,8,8,1,./data/28.jpg,740,621
322,29,8,8,1,./data/29.jpg,747,624
337,30,8,8,1,./data/30.jpg,753,624
352,31,8,8,1,./data/31.jpg,757,631
367,32,8,8,1,./data/32.jpg,757,645
382,33,8,8,1,./data/33.jpg,757,651
397,34,8,8,1,./data/34.jpg,757,668
412,35,8,8,1,./data/35.jpg,760,675
427,36,8,8,1,./data/36.jpg,767,685
442,37,8,8,1,./data/37.jpg,773,692
457,38,8,8,1,./data/38.jpg,780,695
472,39,8,8,1,./data/39.jpg,783,695
487,40,8,8,1,./data/40.jpg,790,699
502,41,8,8,1,./data/41.jpg,803,702
517,42,8,8,1,./data/42.jpg,813,709
532,43,8,8,1,./data/43.jpg,830,709
547,44,8,8,1,./data/44.jpg,847,702
562,45,8,8,1,./data/45.jpg,867,699
577,46,8,8,1,./data/46.jpg,893,695
592,47,8,8,1,./data/47.jpg,920,692
607,48,8,8,1,./data/48.jpg,947,685
622,49,8,8,1,./data/49.jpg,977,688
637,50,8,8,1,./data/50.jpg,1003,688
652,51,8,8,1,./data/51.jpg,1037,695
667,52,8,8,1,./data/52.jpg,1047,702
682,53,8,8,1,./data/53.jpg,1060,702
697,54,8,8,1,./data/54.jpg,1073,695
712,55,8,8,1,./data/55.jpg,1090,685
727,56,8,8,1,./data/56.jpg,1113,675
742,57,8,8,1,./data/57.jpg,1133,668
757,58,8,8,1,./data/58.jpg,1153,665
772,59,8,8,1,./data/59.jpg,1167,665
787,60,8,7,1,./data/60.jpg,1173,662
802,61,8,6,1,./data/61.jpg,1187,645
